NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
315,새봄약국,02-959-8980,"서울특별시 동대문구 왕산로 185, 103, 105호 (청량리동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
316,세민약국,02-739-8851,"서울특별시 종로구 자하문로7길 73, 101호 (누하동, 트라이빌)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-
317,삼흥약국,02-432-2624,"서울특별시 중랑구 망우로 463, 1층 103호 (망우동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
318,세계로약국,02-432-3284,"서울특별시 중랑구 동일로 775, 그린빌딩 1층 (중화동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,-,-
319,꽃길약국,02-2208-7746,"서울특별시 중랑구 겸재로 181, 1층 (면목동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
320,원당프라자약국,02-872-0050,"서울특별시 관악구 남부순환로248길 15, 1층 (봉천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
321,푸르지오약국,02-882-2177,서울특별시 관악구 청림6길 3 (봉천동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
322,소망메디컬약국,02-826-2223,서울특별시 동작구 서달로 157 (흑석동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-
323,참바른약국,02-875-2555,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 2층 (신림동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
324,인헌연세약국,02-877-4123,"서울특별시 관악구 인헌길 12, 1층 (봉천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
325,그린약국,02-888-4959,"서울특별시 관악구 남부순환로 1740, 명당빌딩 1층 (봉천동)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00
326,원약국,02-888-0527,"서울특별시 관악구 은천로 61, 1층 101호 (봉천동, 은천누리에뜰)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~14:30,-,-
327,한울약국,02-857-7755,"서울특별시 관악구 난곡로 50, 자연빌딩 1층 (신림동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,09:00~13:30,-,-
328,보라매성심약국,070-4131-3443,"서울특별시 관악구 봉천로 227, 304호 (봉천동, 보라매샤르망)",09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~12:45,-,-
329,현대약국,02-2181-3677,"서울특별시 금천구 두산로 70 , T-113호(현대지식산업센터)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,10:00~16:30,-,-
330,다올약국,02-400-1027,"서울특별시 송파구 양산로 40, 102호 (거여동)",09:00~20:00,09:00~20:30,09:00~20:00,09:00~20:30,09:00~20:00,09:00~15:00,-,-
331,1층엔약국,02-518-1080,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~16:00,-,-
332,8층약국,02-582-8885,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
333,가까운약국,02-2671-8231,"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~17:00,-,-
334,남시약국,02-753-7466,서울특별시 중구 남대문로 18 (남대문로3가),08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,09:00~18:00,09:00~18:00
335,뉴성모제일약국,02-824-7586,"서울특별시 영등포구 여의대방로62길 2, 봉덕빌딩 1층 (신길동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
336,문래스타약국,02-2633-8889,"서울특별시 영등포구 선유로9길 10, SK V1 Center 1층 105호 (문래동6가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
337,밝은약국,02-2068-1929,"서울특별시 영등포구 영중로 61, 극동방송 (영등포동6가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:30,-,-
338,스타온누리약국,02-587-8228,"서울특별시 서초구 서초대로 250, 스타갤러리브릿지 지하1층 102호 (서초동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~17:00,-,-
339,오늘약국,02-2135-3560,"서울특별시 영등포구 시흥대로 635, 대림메디컬빌딩 1층 (대림동)",09:00~21:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~14:00,-,-
340,호수약국,02-733-5300,"서울특별시 종로구 삼봉로 57, 호수빌딩 지하1층 (수송동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,09:00~17:00,09:00~17:00
341,드림약국,02-423-2771,"서울특별시 송파구 올림픽로35길 10, 파크리오상가B동 202-1호 (신천동, 파크리오)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
342,문정건강약국,02-404-6190,"서울특별시 송파구 송파대로 98, 선도빌딩 1층 (문정동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
343,잠실선약국,02-418-9531,"서울특별시 송파구 올림픽로35길 137, 한국광고문화회관 1층 3호 (신천동)",08:30~21:00,08:30~19:30,08:30~19:30,08:30~21:00,08:30~19:30,08:30~17:00,-,-
344,프라자사랑약국,02-2205-8080,"서울특별시 송파구 백제고분로 438, 1층 (송파동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
345,유정온누리약국,02-822-5692,"서울특별시 동작구 여의대방로22나길 1, 1층 (신대방동)",08:30~19:30,08:30~19:30,09:00~16:00,08:30~19:30,08:30~19:30,-,09:00~14:00,09:00~14:00
346,바다약국,02-957-1110,서울특별시 동대문구 왕산로 189-1 (청량리동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,10:00~16:00,10:00~16:00
347,서울S약국,02-413-1001,"서울특별시 송파구 오금로 197, 대연빌딩 1층 (방이동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:30,-,-
348,은평스타약국,02-6956-6828,"서울특별시 은평구 은평로 116, 103호 (응암동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~15:00,-,-
349,진약국,02-356-7464,"서울특별시 은평구 통일로 610, 106호 (녹번동, 힐스테이트녹번)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~16:00,-,-
350,주차편한아산메디칼약국,02-488-8575,서울특별시 송파구 강동대로 61 (풍납동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
351,올리브약국,02-6951-1129,"서울특별시 양천구 등촌로 230, 동방빌딩 1층 (목동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~15:00,-,-
352,소나무약국,02-6674-0071,"서울특별시 영등포구 신길로 150-1, 1층 (신길동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~14:00,-,-
353,365정화약국,02-935-4869,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,13:00~23:00
354,송파우리약국,02-473-9119,"서울특별시 송파구 토성로 65 (풍납동, 태양상가 108호)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-
355,종로시장약국,02-764-8887,"서울특별시 종로구 종로 233, 1층 (종로5가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,10:30~18:00,-
356,다나은약국,02-420-9800,"서울특별시 송파구 오금로 176, 지인빌딩 1층 1호 (송파동)",09:00~19:00,09:00~19:30,09:00~19:00,09:00~19:30,09:00~19:30,09:00~15:00,-,-
357,도곡약국,02-6407-7656,"서울특별시 강남구 논현로28길 2, 1층 (도곡동)",08:30~20:00,08:30~19:00,08:30~20:00,08:30~19:00,08:30~19:00,09:00~15:00,-,-
358,금손약국,02-855-9369,"서울특별시 구로구 디지털로 242, 한화비즈메트로1차 108호 (구로동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,-,-,-
359,스마트약국,02-2644-8884,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 1층 105호 (신정동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
360,밝은약국,02-386-7585,"서울특별시 은평구 불광로 27, 1층 (대조동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~17:00,-,-
361,서부새생명약국,02-385-3685,서울특별시 은평구 역말로 72 (역촌동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,08:30~22:00,-,-
362,세계로약국,02-355-0513,서울특별시 은평구 불광로 54 (불광동),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:30~19:00,-,09:30~19:00
363,소망온누리약국,02-373-6288,서울특별시 은평구 가좌로5길 22-1 (응암동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
364,신일약국,02-388-0648,"서울특별시 은평구 은평로 156, 1층 101호 (응암동)",08:40~22:00,08:40~22:00,08:40~22:00,08:40~22:00,08:40~22:00,08:40~21:00,-,-
365,에스케이행복약국,02-2245-9400,"서울특별시 동대문구 사가정로 148, 141동 312호 (전농동, 전농 SK아파트)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,09:00~13:00
366,외대김약국,02-3295-3040,"서울특별시 동대문구 이문로 125, 더 메디칼빌딩 1층 (이문동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,09:00~13:00,-,-
367,이문우량아약국,02-967-3025,"서울특별시 동대문구 신이문로 27, 1층 101호 (이문동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~19:00,08:30~19:00,08:30~19:00
368,조령약국,02-2248-7824,서울특별시 동대문구 장한로 12 (장안동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~15:30,-,-
369,초록약국,02-3394-8432,"서울특별시 동대문구 한천로2길 107, 형인타워 103호 (장안동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
370,킴스팜대보약국,02-962-9366,"서울특별시 동대문구 휘경로3길 4, 이문동빌딩 1층 (이문동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-
371,혜중약국,02-967-6692,서울특별시 동대문구 이문로 186 (이문동),08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~19:00,-,-
372,그린팜약국,02-477-9710,"서울특별시 강동구 올림픽로 665, 1층 (천호동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:30~16:30,-,-
373,햇빛약국,02-6081-5255,서울특별시 도봉구 도당로13길 16 (방학동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
374,두리약국,02-583-9305,서울특별시 서초구 사임당로 180,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,09:00~13:00,09:00~13:00
375,강약국,02-2142-3770,"서울특별시 송파구 중대로 135, 동관 1층 101-4호 (가락동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
376,일원역약국,02-451-8233,"서울특별시 강남구 일원로 지하 121, B1층 104호 (일원동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
377,프라자약국,02-365-5569,"서울특별시 마포구 신촌로 238, 1층 (아현동)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:30~20:30,-,-
378,태령약국,02-832-0514,"서울특별시 영등포구 신길로 157, 1층 (신길동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:30~21:00,09:00~20:00,09:00~20:00
379,나음온누리약국,02-488-0803,"서울특별시 강동구 올림픽로 620, 예투빌딩 1층 (성내동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:30,-,-
380,종로프라자약국,02-2242-2182,"서울특별시 동대문구 사가정로 226, 101호~104호 (장안동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~14:00,-,-
381,신정약국,02-2256-1873,"서울특별시 중구 다산로 32 (신당동, 남산타운)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~16:00,-,-
382,왕자약국,02-2231-7908,"서울특별시 중구 다산로36길 11, 동산빌딩 (신당동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
383,정약국,02-839-0105,서울특별시 금천구 두산로 81,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
384,국제약국,02-2245-6384,"서울특별시 동대문구 답십리로 252, 1층 (장안동, 세현빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,10:00~18:00
385,은평천사약국,02-356-7304,"서울특별시 은평구 통일로 1034, 1,2층 135,136,137,226,227호 (진관동, 은평스카이뷰자이)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~13:00,-,-
386,가디온누리약국,02-6674-5544,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 117호 (가산동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-
387,관악그랜드약국,02-877-1023,"서울특별시 관악구 신림로 141, 1층 (신림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
388,중경당약국,02-2246-1220,"서울특별시 동대문구 장한로 58, 1층 (장안동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,-
389,청솔약국,02-3394-6600,"서울특별시 동대문구 전농로10길 20 (답십리동, 청솔우성아파트상가)",09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~13:20,-,-
390,카톨릭대학약국,02-957-9550,"서울특별시 동대문구 왕산로 178, 1층 (전농동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-
391,편한M약국,02-882-0072,"서울특별시 관악구 신림로 318, 1층 101호 (신림동, 청암두산위브센티움)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:30,-,-
392,하나온누리약국,02-960-8012,"서울특별시 동대문구 사가정로 206, 1층 (장안동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
393,하은약국,02-2213-6769,서울특별시 동대문구 사가정로 110 (전농동),08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
394,햇살약국,02-991-4047,"서울특별시 강북구 한천로 1038, 천지빌딩,유료주차장 1층 (수유동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
395,혜민약국,02-960-2083,서울특별시 동대문구 홍릉로 34-1 (청량리동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
396,새평화약국,02-3789-4904,"서울특별시 용산구 후암로57길 37, 1층 (동자동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,09:00~20:00
397,우리약국,070-8242-8579,"서울특별시 동대문구 한천로 4, 1층 (장안동)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
398,인영약국,02-966-5225,서울특별시 동대문구 왕산로 118 (용두동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~15:00,-,-
399,장수약국,02-965-5926,"서울특별시 동대문구 이문로 135, 1층 105호 (이문동, 아정오피스텔)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
400,장안약국,02-2242-3129,서울특별시 동대문구 답십리로 248 (장안동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
401,제일성모약국,02-965-9114,"서울특별시 동대문구 약령시로 126, 1층 (청량리동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
402,조은약국,02-3394-7544,"서울특별시 동대문구 사가정로 148, 141동 211호 (전농동, SK아파트상가)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-
403,수인약국,02-2216-3301,"서울특별시 동대문구 장한로 119, 3층 305호 (장안동, 삼성쉐르빌빌딩)",09:00~20:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
404,신상록수약국,02-926-6969,"서울특별시 동대문구 무학로26길 5, 1층 (용두동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,10:00~20:00,-
405,신우약국,02-961-8833,"서울특별시 동대문구 홍릉로 5-1, 1층 (청량리동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
406,신유약국,02-569-0823,"서울특별시 동대문구 장한로28가길 1, 1층 (장안동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
407,신종로약국,02-960-3322,"서울특별시 동대문구 왕산로 261, 1층 (청량리동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-
408,신행당약국,02-2212-1931,"서울특별시 동대문구 사가정로 148, 3층 (전농동, sk아파트스포츠상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
409,명약국,02-851-5672,"서울특별시 금천구 시흥대로 473, (독산동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
410,삼성엠(M)약국,02-967-3375,서울특별시 동대문구 왕산로 247-1 (청량리동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
411,희망약국,02-430-3743,"서울특별시 송파구 송이로 150, 재경빌딩 (가락동)",07:50~18:20,07:50~18:20,07:50~18:20,07:50~18:20,07:50~18:20,07:50~14:00,-,-
412,마음약국,02-585-8908,"서울특별시 관악구 남현길 7, 한일프라자 1층 (남현동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
413,바오로약국,02-967-3761,"서울특별시 동대문구 왕산로 225, 미주상가 2층 203호 (청량리동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~15:00,-,-
414,새동산약국,02-957-5502,"서울특별시 동대문구 왕산로 225, 미주상가 A동 2층 11-2호 (청량리동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~14:00,-,-
415,새린온누리약국,02-2214-3455,"서울특별시 동대문구 답십리로 266, 1층 (장안동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,09:00~18:00,-
416,새싹약국,02-6403-8310,"서울특별시 동대문구 이문로 136, 1층 109호 (이문동, 웰츠타워)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
417,새이화약국,02-2214-2488,"서울특별시 동대문구 장한로 140, 1층 (장안동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,-,-
418,서생당약국,02-2212-2785,서울특별시 동대문구 서울시립대로 42 (전농동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~18:00,09:00~18:00,09:00~18:00
419,미소약국,02-2217-4365,"서울특별시 동대문구 전농로 128, 1층 (전농동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
420,봄약국,02-2212-1620,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 1층 (장안동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
421,고은온누리약국,02-477-9403,"서울특별시 강동구 천호대로 1153, 1층 (길동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,10:00~15:00
422,봄날약국,02-6285-3691,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 2층 206호 (상일동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~14:00,08:30~14:00,08:30~14:00
423,경희메디칼약국,02-966-5830,"서울특별시 동대문구 경희대로 24, 1층 (회기동)",08:30~18:00,08:30~18:00,08:30~20:00,08:30~18:00,08:30~18:00,09:00~13:00,-,-
424,금창약국,02-928-6985,"서울특별시 동대문구 약령시로 3, 1층 (제기동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
425,늘푸른약국,02-2243-1101,"서울특별시 동대문구 전농로 148, 1층 (전농동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,-
426,드림약국,02-2231-9196,서울특별시 동대문구 천호대로 8 (신설동),07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~16:00,-,-
427,우주약국,02-2249-0908,서울특별시 동대문구 장한로 139 (장안동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~14:00,-,-
428,이문태평양약국,02-969-0308,"서울특별시 동대문구 이문로 130, 1층 (이문동)",09:00~20:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-
429,인애약국,02-962-7273,"서울특별시 동대문구 휘경로 60, 101동 상가동 104호 (휘경동, 휘경SK VIEW 아파트)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,09:00~17:00,-,-
430,가까운단골약국,02-441-8855,"서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-
431,강동우리약국,02-479-1150,서울특별시 강동구 천호대로173길 12,08:30~18:30,08:30~19:00,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
432,뉴욕온누리약국,02-428-0045,"서울특별시 강동구 양재대로 1590, 1층 (명일동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
433,굿모닝약국,02-472-8775,"서울특별시 강동구 풍성로 178, 1층 (성내동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
434,대자연약국,02-474-7576,"서울특별시 강동구 구천면로 291, (천호동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,14:00~21:30,09:30~21:30
435,어깨동무약국,02-927-9125,"서울특별시 동대문구 무학로 189, 1층 (용두동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:30,-,-
436,왕약국,02-877-1333,서울특별시 관악구 대학5길 17 (신림동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
437,세종로약국,02-846-0072,"서울특별시 영등포구 여의대방로 197, (신길동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-
438,메디칼서울약국,02-766-9000,"서울특별시 종로구 대학로9길 6, 1층,2층 (명륜4가)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
439,소중한약국,02-2607-4061,"서울특별시 양천구 오목로 64, 1층 (신월동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
440,진한약국,02-855-2728,"서울특별시 금천구 벚꽃로38길 5, 1층 (가산동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,10:30~18:00,-,-
441,화이트약국,02-432-6641,서울특별시 중랑구 사가정로 395 (면목동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,-
442,나라약국,02-309-8480,"서울특별시 서대문구 가재울미래로 2, 별동상가 102호 (남가좌동, DMC파크뷰자이)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~18:00,-,-
443,해든이화약국,02-6925-0788,"서울특별시 양천구 목동동로 435, 103,104호 (목동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,09:00~14:00,-,-
444,문성당약국,02-804-5360,서울특별시 금천구 독산로64길 39,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
445,가양누리약국,02-3663-8013,"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~20:00,09:00~19:30,09:00~16:00,-,-
446,늘사랑온누리약국,02-802-7440,서울특별시 금천구 금하로 816,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
447,종로프라자약국,02-2652-8343,서울특별시 양천구 목동로27길 5,09:00~18:15,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:15,-,-
448,모래내약국,02-307-1688,"서울특별시 서대문구 수색로 34, 1층 (남가좌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,10:00~19:00,-
449,건강한온누리약국,02-2268-4582,"서울특별시 강남구 압구정로34길 11, 압구정스퀘어 (신사동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
450,조아약국,02-977-5459,"서울특별시 노원구 동일로192길 74, 지하2층 101호 (공릉동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-
451,즐거운약국,02-990-3083,"서울특별시 도봉구 노해로63길 79, 1층 (창동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~14:30,-,-
